step	dice_multi
0	0.49600762879077515
1	0.49600762879077515
2	0.7639510020028624
3	0.7754392322488113
4	0.7937897323216028
5	0.8067023218098652
6	0.8047108207587226
7	0.8106422747541717
8	0.8105745256244299
