step	loss
0	0.3263748288154602
1	0.07998542487621307
2	0.05847599357366562
3	0.04606880620121956
4	0.03846891596913338
5	0.0335068441927433
6	0.029874887317419052
7	0.02719876356422901
8	0.02514628879725933
